S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1189,2018-10-04,319.0,319.0,312.0,314.0,0.0,23101.00,7252287.00
1188,2018-10-07,312.0,313.0,310.0,310.0,-1.27,29811.00,9273608.00
1187,2018-10-08,311.0,315.0,310.0,315.0,1.61,16000.00,4977852.00
1186,2018-10-09,313.0,318.0,313.0,316.0,0.32,21631.00,6816634.00
1185,2018-10-10,312.0,314.0,311.0,312.0,-1.27,11171.00,3487698.00
1184,2018-10-11,310.0,316.0,310.0,316.0,1.28,8159.00,2562029.00
1183,2018-10-14,316.0,319.0,316.0,317.0,0.32,2332.00,739099.00
1182,2018-10-15,318.0,319.0,315.0,318.0,0.32,14713.00,4668903.00
1181,2018-10-21,317.0,319.0,317.0,318.0,0.0,4941.00,1572266.00
1180,2018-10-22,317.0,318.0,316.0,318.0,0.0,1937.00,614191.00
1179,2018-10-23,318.0,318.0,314.0,317.0,-0.31,6845.00,2165368.00
1178,2018-10-24,317.0,320.0,315.0,320.0,0.95,13431.00,4268526.00
1177,2018-10-25,317.0,320.0,316.0,319.0,-0.31,9252.00,2940585.00
1176,2018-10-28,320.0,320.0,310.0,314.0,-1.57,75372.00,23388344.00
1175,2018-10-29,311.0,312.0,309.0,311.0,-0.96,8899.00,2768276.00
1174,2018-10-30,310.0,313.0,310.0,313.0,0.64,18460.00,5750547.00
1173,2018-10-31,310.0,313.0,310.0,313.0,0.0,6845.00,2127466.00
1172,2018-11-01,315.0,315.0,310.0,312.0,-0.32,29070.00,9088397.00
1171,2018-11-04,315.0,315.0,310.0,311.0,-0.32,6404.00,1992656.00
1170,2018-11-05,308.0,321.0,308.0,318.0,2.25,16784.00,5270680.00
1169,2018-11-06,318.0,318.0,311.0,315.0,-0.94,1824.00,576080.00
1168,2018-11-11,315.0,315.0,311.0,311.0,-1.27,763.00,237603.00
1167,2018-11-12,310.0,315.0,308.0,315.0,1.29,3484.00,1079416.00
1166,2018-11-13,315.0,317.0,314.0,315.0,0.0,8790.00,2773527.00
1165,2018-11-14,315.0,318.0,314.0,317.0,0.63,4658.00,1474032.00
1164,2018-11-15,315.0,318.0,314.0,314.0,-0.95,13666.00,4308688.00
1163,2018-11-18,314.0,317.0,308.0,315.0,0.32,10341.00,3253073.00
1162,2018-11-19,314.0,316.0,311.0,316.0,0.32,8638.00,2706615.00
1161,2018-11-20,316.0,316.0,313.0,313.0,-0.95,5005.00,1570506.00
1160,2018-11-21,310.0,313.0,309.0,313.0,0.0,56591.00,17566008.00
1159,2018-11-22,315.0,315.0,311.0,311.0,-0.64,6479.00,2030834.00
1158,2018-11-25,310.0,312.0,310.0,310.0,-0.32,3361.00,1045140.00
1157,2018-11-26,312.0,314.0,308.0,314.0,1.29,45636.00,14182722.00
1156,2018-11-27,315.0,315.0,310.0,311.0,-0.96,7127.00,2213566.00
1155,2018-11-28,306.0,312.0,306.0,308.0,-0.96,25997.00,8034212.00
1154,2018-11-29,309.0,309.0,307.0,307.0,-0.32,9111.00,2804582.00
1153,2018-12-02,306.0,307.0,300.0,302.0,-1.63,63621.00,19288712.00
1152,2018-12-03,308.0,309.0,304.0,307.0,1.66,19941.00,6107772.00
1151,2018-12-04,304.0,320.0,304.0,316.0,2.93,108401.00,33745660.00
1150,2018-12-05,318.0,318.0,310.0,312.0,-1.27,91259.00,28795196.00
1149,2018-12-06,308.0,316.0,308.0,314.0,0.64,57215.00,17722008.00
1148,2018-12-09,314.0,318.0,314.0,317.0,0.96,16030.00,5057961.00
1147,2018-12-10,316.0,319.0,315.0,317.0,0.0,119217.00,37597460.00
1146,2018-12-11,318.0,318.0,315.0,315.0,-0.63,17474.00,5523367.00
1145,2018-12-12,315.0,317.0,314.0,317.0,0.63,3521.00,1110897.00
1144,2018-12-13,317.0,319.0,316.0,318.0,0.32,18842.00,5986023.00
1143,2018-12-16,322.0,322.0,317.0,320.0,0.63,22252.00,7102799.00
1142,2018-12-17,322.0,323.0,317.0,320.0,0.0,29210.00,9285478.00
1141,2018-12-18,326.0,326.0,316.0,316.0,-1.25,58163.00,18429872.00
1140,2018-12-19,316.0,319.0,313.0,316.0,0.0,21890.00,6917644.00
