S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
464,2023-02-26,312.7,320.0,308.0,319.0,0.31,11073.00,3463937.50
463,2023-02-27,322.0,323.0,315.8,318.0,-0.31,4231.00,1343623.10
462,2023-02-28,315.6,328.8,315.0,321.0,0.94,6725.00,2154772.00
461,2023-03-01,316.0,321.0,314.0,318.0,-0.93,7317.00,2316177.80
460,2023-03-02,315.0,318.0,312.2,312.7,-1.67,8951.00,2811600.40
459,2023-03-05,315.0,317.5,309.3,317.5,1.54,12116.00,3788963.20
458,2023-03-07,317.0,325.0,317.0,324.0,2.05,14537.00,4686315.20
457,2023-03-09,330.0,337.0,323.8,329.0,1.54,19682.00,6494633.30
456,2023-03-12,333.0,335.0,325.0,325.1,-1.19,8341.00,2735371.20
455,2023-03-13,320.0,325.0,318.6,320.0,-1.57,4808.00,1540958.80
454,2023-03-14,320.0,324.0,316.0,320.0,0.0,2947.00,943135.80
453,2023-03-15,324.9,325.0,316.0,318.0,-0.63,5117.00,1625382.80
452,2023-03-16,318.0,320.0,315.0,318.0,0.0,3608.00,1144367.70
451,2023-03-19,320.0,324.0,318.1,319.0,0.31,6748.00,2165510.60
450,2023-03-20,325.0,325.0,319.0,324.9,1.85,3975.00,1282171.30
449,2023-03-22,326.0,327.0,320.1,320.1,-1.48,7349.00,2365292.40
448,2023-03-23,314.0,324.0,314.0,320.0,-0.03,4986.00,1595369.50
447,2023-03-26,315.1,318.5,314.0,314.0,-1.88,7696.00,2424615.40
446,2023-03-27,309.0,320.0,309.0,318.0,1.27,10763.00,3367726.80
445,2023-03-28,320.0,324.0,317.1,319.2,0.38,4381.00,1404828.90
444,2023-03-29,325.5,325.5,314.0,319.5,0.09,7733.00,2453558.20
443,2023-03-30,313.6,324.0,313.6,317.6,-0.59,2453.00,782309.40
442,2023-04-02,323.9,323.9,314.0,315.0,-0.82,6044.00,1916766.20
441,2023-04-03,318.0,318.9,312.0,312.6,-0.76,5265.00,1656373.20
440,2023-04-04,315.0,315.0,311.0,313.0,0.13,4768.00,1494407.90
439,2023-04-05,307.1,316.0,307.1,315.1,0.67,3728.00,1172778.00
438,2023-04-06,316.0,319.5,313.2,314.0,-0.35,4651.00,1468827.00
437,2023-04-09,316.5,316.5,308.0,308.0,-1.91,8167.00,2526115.80
436,2023-04-10,312.0,312.0,306.3,306.3,-0.55,7335.00,2259038.50
435,2023-04-11,312.0,312.0,306.1,309.0,0.88,5587.00,1728004.00
434,2023-04-12,315.1,324.0,311.0,320.0,3.56,9095.00,2906238.30
433,2023-04-13,325.0,325.0,318.6,320.0,0.0,12331.00,3984109.40
432,2023-04-16,315.0,322.5,314.0,320.0,0.0,7249.00,2305873.60
431,2023-04-17,315.7,320.0,315.7,319.0,-0.31,2877.00,915151.40
430,2023-04-18,317.0,319.0,315.0,319.0,0.0,1968.00,623883.40
429,2023-04-19,319.0,319.0,315.0,319.0,0.0,3582.00,1131098.80
428,2023-04-20,313.1,323.0,310.0,313.0,-1.88,5860.00,1840774.70
427,2023-04-23,314.0,314.0,308.0,310.0,-0.96,6828.00,2118531.50
426,2023-04-24,310.0,314.9,309.0,309.4,-0.19,4085.00,1267744.90
425,2023-04-25,309.4,316.0,309.4,313.0,1.16,6776.00,2127418.20
424,2023-04-26,306.8,319.0,306.8,318.0,1.6,7452.00,2358090.50
423,2023-04-27,312.3,315.0,310.0,312.4,-1.76,3214.00,1003859.00
422,2023-04-30,307.0,312.0,307.0,309.0,-1.09,3833.00,1184099.70
421,2023-05-02,310.0,314.0,307.2,309.0,0.0,2393.00,739788.90
420,2023-05-03,307.0,309.0,307.0,307.1,-0.61,3408.00,1047541.50
419,2023-05-04,308.0,330.0,306.1,323.4,5.31,5868.00,1821145.50
418,2023-05-07,317.0,319.5,312.5,312.5,-3.37,3641.00,1150081.70
417,2023-05-08,307.2,312.0,307.0,308.0,-1.44,3751.00,1155344.40
416,2023-05-09,307.0,313.0,306.0,312.0,1.3,3791.00,1176801.00
415,2023-05-10,318.1,318.2,312.0,314.0,0.64,5854.00,1844845.80
414,2023-05-11,320.0,320.0,312.0,312.0,-0.64,6164.00,1931276.10
413,2023-05-14,311.5,312.0,305.0,308.2,-1.22,10857.00,3339663.30
412,2023-05-15,308.0,310.0,305.0,309.9,0.55,3776.00,1155533.90
411,2023-05-16,307.0,313.0,305.1,311.0,0.35,4648.00,1434742.80
410,2023-05-17,311.0,313.0,310.0,311.9,0.29,5788.00,1803491.00
409,2023-05-18,315.0,318.0,312.0,317.9,1.92,4587.00,1450970.80
408,2023-05-21,324.0,324.0,310.0,318.0,0.03,10859.00,3408000.50
407,2023-05-22,317.9,319.0,313.0,315.0,-0.94,3060.00,970550.30
406,2023-05-23,315.0,321.0,315.0,319.0,1.27,8661.00,2761292.00
405,2023-05-24,319.0,323.0,316.1,319.8,0.25,8234.00,2634119.80
404,2023-05-28,319.3,325.5,319.3,320.2,0.13,21393.00,6921076.20
403,2023-05-30,315.0,318.9,312.1,315.1,-1.59,8235.00,2594285.20
402,2023-05-31,312.0,317.0,308.9,308.9,-1.97,9514.00,2961360.00
401,2023-06-01,312.0,314.0,307.3,311.0,0.68,7855.00,2436133.00
400,2023-06-04,317.0,321.8,314.0,319.8,2.83,10195.00,3238408.40
399,2023-06-05,320.0,340.0,319.3,330.0,3.19,62748.00,20824525.20
398,2023-06-06,329.8,349.0,329.8,348.5,5.61,80365.00,27571351.60
397,2023-06-07,355.0,356.0,341.6,344.0,-1.29,29344.00,10223462.50
396,2023-06-08,339.5,346.0,338.0,342.0,-0.58,36153.00,12335887.40
395,2023-06-11,342.3,348.9,342.3,348.6,1.93,29695.00,10263918.20
394,2023-06-12,348.0,354.8,338.1,339.0,-2.75,26891.00,9245730.20
393,2023-06-13,345.6,349.0,339.0,345.0,1.77,31316.00,10823117.90
392,2023-06-14,350.0,354.0,341.0,343.1,-0.55,32384.00,11293859.30
391,2023-06-15,347.0,347.0,339.2,342.0,-0.32,20801.00,7119497.00
390,2023-06-18,345.0,365.0,341.0,352.0,2.92,29074.00,10181615.20
389,2023-06-19,355.0,355.0,345.1,347.0,-1.42,13660.00,4753278.70
388,2023-06-20,345.1,352.0,336.0,336.2,-3.11,21077.00,7241913.00
387,2023-06-21,336.2,341.4,331.0,332.0,-1.25,19664.00,6612458.50
386,2023-06-22,338.6,338.6,327.0,327.0,-1.51,15781.00,5213080.80
385,2023-06-25,327.0,340.0,327.0,339.0,3.67,28800.00,9643053.80
384,2023-06-26,339.1,350.0,333.0,333.0,-1.77,18440.00,6256807.40
383,2023-06-27,339.6,345.1,333.0,342.6,2.88,24141.00,8210866.80
382,2023-06-28,340.0,348.8,335.8,339.0,-1.05,24461.00,8378974.60
381,2023-07-02,338.1,338.1,327.0,328.0,-3.24,21820.00,7247434.80
380,2023-07-03,325.0,330.0,323.4,324.0,-1.22,18401.00,5982910.20
379,2023-07-04,330.0,330.0,323.7,325.0,0.31,7991.00,2599678.40
378,2023-07-05,331.5,331.5,320.0,322.0,-0.92,13436.00,4342282.30
377,2023-07-06,320.1,324.0,316.0,317.0,-1.55,14807.00,4713484.10
376,2023-07-09,322.0,329.0,321.0,326.9,3.12,11963.00,3872051.80
375,2023-07-10,329.0,333.0,320.0,325.0,-0.58,8801.00,2854896.50
374,2023-07-11,325.0,325.0,319.1,319.1,-1.82,9677.00,3099394.10
373,2023-07-12,324.0,335.0,321.0,331.0,3.73,12948.00,4271861.00
372,2023-07-13,335.0,341.0,327.3,327.3,-1.12,11483.00,3799436.10
371,2023-07-16,327.0,330.5,323.0,330.5,0.98,9240.00,3020005.60
370,2023-07-17,326.0,334.0,326.0,333.0,0.76,8079.00,2674443.00
369,2023-07-18,339.5,339.5,331.0,334.0,0.3,11544.00,3845190.20
368,2023-07-19,327.5,334.1,327.5,330.0,-1.2,8727.00,2891722.10
367,2023-07-20,325.3,342.9,325.3,333.3,1.0,26102.00,8651980.10
366,2023-07-23,339.0,339.0,332.3,334.2,0.27,13875.00,4646283.50
365,2023-07-24,335.0,342.9,335.0,338.0,1.14,24593.00,8347805.60
364,2023-07-25,338.0,343.0,330.1,331.0,-2.07,10860.00,3629725.70
363,2023-07-26,332.0,334.0,329.0,329.0,-0.6,5141.00,1702923.20
362,2023-07-27,333.0,333.0,325.0,325.0,-1.22,10061.00,3286761.50
361,2023-07-30,325.0,330.0,323.4,325.0,0.0,7245.00,2352533.60
360,2023-07-31,331.0,331.0,323.0,324.0,-0.31,3572.00,1160139.60
359,2023-08-01,324.0,328.0,318.2,320.0,-1.23,9944.00,3201099.90
358,2023-08-02,326.0,332.0,314.0,324.0,1.25,11082.00,3501725.40
357,2023-08-03,330.0,330.0,319.7,322.9,-0.34,6698.00,2150988.80
356,2023-08-06,328.9,328.9,315.1,315.5,-2.29,7095.00,2254662.60
355,2023-08-07,315.0,320.0,313.1,316.0,0.16,6261.00,1984570.70
354,2023-08-08,316.0,322.0,315.0,317.0,0.32,7858.00,2487637.40
353,2023-08-09,312.0,321.0,312.0,321.0,1.26,11679.00,3706742.00
352,2023-08-10,321.0,327.4,316.1,321.5,0.16,5573.00,1791054.30
351,2023-08-13,322.0,326.0,316.1,321.0,-0.16,9519.00,3071316.50
350,2023-08-14,320.5,324.0,318.0,319.5,-0.47,6935.00,2219239.30
349,2023-08-15,314.1,318.8,313.2,314.0,-1.72,8554.00,2691492.30
348,2023-08-16,319.9,319.9,308.5,308.5,-1.75,10043.00,3125005.30
347,2023-08-17,314.5,332.9,307.0,309.0,0.16,16715.00,5177830.60
346,2023-08-20,315.0,315.0,307.3,307.6,-0.45,11696.00,3614126.40
345,2023-08-21,309.0,313.0,307.1,308.0,0.13,6988.00,2157211.20
344,2023-08-22,302.0,320.0,302.0,320.0,3.9,9005.00,2795537.80
343,2023-08-23,320.0,322.8,312.0,317.0,-0.94,11746.00,3709417.90
342,2023-08-24,311.1,315.0,308.0,311.0,-1.89,8581.00,2668517.00
341,2023-08-27,310.0,311.0,307.0,307.0,-1.29,5001.00,1541865.60
340,2023-08-28,307.0,312.0,307.0,307.5,0.16,4716.00,1449558.20
339,2023-08-29,313.0,313.0,307.0,307.0,-0.16,4175.00,1285559.40
338,2023-08-30,307.0,311.9,307.0,307.4,0.13,3293.00,1014776.80
337,2023-09-03,307.0,307.0,302.0,304.0,-1.11,22317.00,6793273.80
336,2023-09-04,306.0,308.0,302.0,304.0,0.0,8693.00,2639480.10
335,2023-09-05,310.0,310.0,302.1,303.0,-0.33,3176.00,962878.00
334,2023-09-07,303.5,304.0,298.4,299.0,-1.32,8153.00,2449724.60
333,2023-09-10,303.0,303.0,299.7,299.7,0.23,9323.00,2807149.20
332,2023-09-11,300.0,306.5,300.0,304.1,1.47,5571.00,1695194.70
331,2023-09-12,310.0,316.0,303.8,303.8,-0.1,4704.00,1434706.60
330,2023-09-13,305.0,313.0,304.1,310.0,2.04,5147.00,1583335.80
329,2023-09-17,314.7,314.7,302.5,305.9,-1.32,5317.00,1620400.90
328,2023-09-18,306.0,307.0,303.0,307.0,0.36,1484.00,452291.60
327,2023-09-19,302.2,309.7,302.2,309.0,0.65,5857.00,1791183.90
326,2023-09-21,314.0,318.0,313.0,316.4,2.39,22795.00,7198339.80
325,2023-09-24,317.0,317.0,311.0,311.6,-1.52,7679.00,2406724.70
