Date,Open,High,Low,Close,per_change,Qty,Turnover,EPS,PE
8/3/2022,720.20,725.00,715.00,715.00,-0.72,50858.00,36562734.20,39.13,18.27
8/2/2022,730.00,730.00,720.20,720.20,-0.25,44090.00,31879757.10,39.13,18.41
8/1/2022,730.00,730.00,721.00,722.00,-0.41,60754.00,44154399.80,39.13,18.45
7/31/2022,710.00,731.00,707.00,725.00,2.42,87775.00,63352657.30,39.13,18.53
7/29/2022,712.00,715.00,706.00,707.90,-0.16,30305.00,21491560.10,39.13,18.09
7/28/2022,719.90,719.90,705.10,709.00,-0.28,75111.00,53398498.30,39.13,18.12
7/27/2022,709.00,714.90,701.00,711.00,0.28,54808.00,38840191.10,39.13,18.17
7/26/2022,731.10,731.10,708.00,709.00,-3.01,102412.00,73394457.60,39.13,18.12
7/25/2022,733.00,734.50,728.00,731.00,0.97,101736.00,74412150.50,39.13,18.68
7/24/2022,713.00,724.90,706.00,724.00,1.54,86801.00,62181450.40,39.13,18.50
7/22/2022,724.00,724.90,712.00,713.00,-1.25,47223.00,33795047.50,39.13,18.22
7/21/2022,730.00,735.00,719.00,722.00,0.84,155068.00,112262850.60,39.13,18.45
7/20/2022,710.00,720.00,709.00,716.00,0.42,64499.00,46187074.60,39.13,18.30
7/19/2022,709.00,718.00,704.10,713.00,1.42,96528.00,68800235.50,39.13,18.22
7/18/2022,703.00,704.00,695.00,703.00,0.00,48670.00,34068291.00,39.13,17.97
7/17/2022,709.90,709.90,691.00,703.00,1.01,64978.00,45630844.10,39.13,17.97
7/15/2022,694.00,704.00,688.00,696.00,0.29,44293.00,30796694.20,41.24,16.88
7/14/2022,670.00,697.80,667.10,694.00,2.06,448553.00,301886738.50,41.24,16.83
7/13/2022,657.00,680.00,657.00,680.00,3.50,124370.00,83391813.90,41.24,16.49
7/12/2022,648.00,660.00,646.00,657.00,1.39,53503.00,35028276.30,41.24,15.93
7/11/2022,662.00,662.00,640.00,648.00,-2.99,134434.00,87145321.70,41.24,15.71
7/8/2022,685.00,687.00,664.30,668.00,-2.48,45733.00,30725228.80,41.24,16.20
7/7/2022,702.00,710.00,680.00,685.00,-0.58,38738.00,26611172.30,41.24,16.61
7/6/2022,690.00,693.00,676.20,689.00,-0.14,42283.00,29025276.90,41.24,16.71
7/5/2022,704.00,713.00,690.00,690.00,-1.99,50002.00,34827117.60,41.24,16.73
7/4/2022,720.00,734.00,699.00,704.00,-1.95,140168.00,100647859.20,41.24,17.07
7/3/2022,690.00,718.00,680.00,718.00,4.07,99723.00,68908574.20,41.24,17.41
7/1/2022,701.00,705.00,687.00,689.90,-1.26,65273.00,45132655.00,41.24,16.73
6/30/2022,682.00,698.70,680.00,698.70,2.90,51903.00,35835390.90,41.24,16.94
6/29/2022,675.00,680.00,664.00,679.00,0.97,21950.00,14830151.40,41.24,16.46
6/28/2022,665.10,679.00,665.10,672.50,-0.81,15590.00,10475976.60,41.24,16.31
6/27/2022,691.00,693.00,676.00,678.00,-1.17,46048.00,31489836.40,41.24,16.44
6/26/2022,672.00,686.00,662.00,686.00,4.10,75516.00,50874300.20,41.24,16.63
6/24/2022,648.00,670.00,634.00,659.00,0.93,31888.00,20757296.40,41.24,15.98
6/23/2022,670.00,670.00,646.50,652.90,-2.55,63783.00,41559492.70,41.24,15.83
6/22/2022,685.00,685.00,669.50,670.00,-2.19,36984.00,24938602.30,41.24,16.25
6/21/2022,680.00,693.60,670.30,685.00,1.57,46893.00,31847791.50,41.24,16.61
6/20/2022,680.00,680.00,671.10,674.40,-1.11,64703.00,43573844.60,41.24,16.35
6/19/2022,699.00,699.00,680.20,682.00,-1.87,47112.00,32414390.40,41.24,16.54
6/17/2022,700.00,705.00,690.00,695.00,-0.34,32624.00,22622428.40,41.24,16.85
6/16/2022,704.00,707.90,690.00,697.40,-0.94,51244.00,35723383.70,41.24,16.91
6/15/2022,717.20,717.20,691.90,704.00,0.11,63277.00,44133477.10,41.24,17.07
6/14/2022,706.00,710.00,701.00,703.20,-0.89,33384.00,23532141.30,41.24,17.05
6/13/2022,716.00,716.00,705.00,709.50,-0.91,34498.00,24507678.30,41.24,17.20
6/10/2022,730.30,730.30,700.00,716.00,0.00,42734.00,30241773.50,41.24,17.36
6/9/2022,720.00,731.70,715.00,716.00,-0.97,43462.00,31458526.30,41.24,17.36
6/8/2022,700.00,732.00,700.00,723.00,1.99,58996.00,42387230.90,41.24,17.53
6/7/2022,728.00,729.00,700.00,708.90,-2.49,86403.00,61188683.20,41.24,17.19
6/6/2022,744.00,746.00,724.00,727.00,-1.62,92806.00,67694641.60,41.24,17.63
6/3/2022,745.00,757.00,728.10,739.00,-0.74,84842.00,62355688.00,41.24,17.92
6/2/2022,760.00,760.00,741.00,744.50,-2.03,87718.00,65460889.80,41.24,18.05
6/1/2022,750.00,763.00,748.00,759.90,0.96,42503.00,32041704.80,41.24,18.43
5/31/2022,770.00,770.00,748.00,752.70,-0.96,71623.00,53798800.70,41.24,18.25
5/30/2022,787.40,787.40,750.00,760.00,-1.55,53026.00,40208618.10,41.24,18.43
5/27/2022,785.00,785.00,770.00,772.00,-1.22,35663.00,27567460.20,41.24,18.72
5/26/2022,790.50,790.50,774.00,781.50,0.84,22046.00,17182885.50,41.24,18.95
5/25/2022,783.00,783.00,770.00,775.00,0.91,20264.00,15717649.50,41.24,18.79
5/24/2022,760.00,773.00,750.00,768.00,0.50,22335.00,17093132.10,41.24,18.62
5/23/2022,785.00,785.00,760.00,764.20,-2.03,38586.00,29522285.10,41.24,18.53
5/20/2022,780.00,785.00,776.00,780.00,-0.13,14791.00,11542676.60,41.24,18.91
5/19/2022,794.00,794.00,777.00,781.00,-0.64,29672.00,23247547.30,41.24,18.94
5/18/2022,780.00,789.00,771.00,786.00,1.42,27047.00,21033118.70,41.24,19.06
5/17/2022,808.00,814.00,775.00,775.00,-4.08,64901.00,51032588.10,41.24,18.79
5/12/2022,800.00,819.00,790.10,808.00,2.02,69720.00,55972819.30,41.24,19.59
5/11/2022,794.00,800.00,785.00,792.00,0.89,60355.00,47844200.80,41.24,19.20
5/10/2022,777.00,785.00,770.00,785.00,1.42,25257.00,19672533.20,41.24,19.03
5/9/2022,780.30,780.30,750.00,774.00,1.18,65468.00,50489591.30,41.24,18.77
5/8/2022,751.00,765.00,750.00,765.00,0.13,48636.00,36790867.70,41.24,18.55
5/5/2022,762.00,770.00,747.50,764.00,-0.97,89146.00,67361636.70,41.24,18.53
5/4/2022,770.00,773.00,765.10,771.50,-0.26,23016.00,17693150.40,41.24,18.71
5/2/2022,780.00,780.00,767.00,773.50,-1.09,33499.00,25833871.40,41.24,18.76
4/28/2022,780.00,790.00,779.00,782.00,0.03,44865.00,35146477.20,41.24,18.96
4/27/2022,773.00,781.80,770.10,781.80,-0.33,37180.00,28839572.60,41.24,18.96
4/26/2022,785.00,791.00,773.00,784.40,1.08,35741.00,27903335.30,41.24,19.02
4/25/2022,800.00,800.00,776.00,776.00,-2.51,68468.00,53867663.60,41.24,18.82
4/24/2022,780.00,800.00,765.00,796.00,4.05,62866.00,49168270.50,41.24,19.30
4/21/2022,770.10,770.10,740.00,765.00,1.32,55724.00,42064704.40,41.24,18.55
4/20/2022,775.00,775.00,750.80,755.00,-0.66,66139.00,50256923.20,41.24,18.31
4/19/2022,750.00,764.80,746.00,760.00,1.67,28688.00,21693263.20,41.24,18.43
