S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
472,2023-02-09,490.0,495.0,485.0,490.0,0.62,32508.00,15885324.50
471,2023-02-12,481.0,488.0,477.1,477.5,-2.55,35339.00,16958901.40
470,2023-02-14,475.0,479.0,467.2,467.5,-2.09,27749.00,13075127.50
469,2023-02-15,466.0,474.0,459.0,461.5,-1.28,29080.00,13514818.20
468,2023-02-16,455.2,462.0,455.0,458.5,-0.65,18948.00,8663725.60
467,2023-02-20,455.0,460.0,451.6,454.0,-0.98,23901.00,10844456.50
466,2023-02-22,451.0,468.6,451.0,466.0,2.64,17201.00,7976730.90
465,2023-02-23,461.0,464.9,457.1,460.3,-1.22,25771.00,11854533.00
464,2023-02-26,455.0,460.0,446.0,459.0,-0.28,30673.00,13816724.80
463,2023-02-27,460.0,469.2,452.0,465.9,1.5,49232.00,22604865.70
462,2023-02-28,461.0,504.1,458.0,474.4,1.82,28356.00,13465125.70
461,2023-03-01,472.1,487.0,472.0,475.3,0.19,37874.00,18150299.50
460,2023-03-02,472.0,479.5,469.5,472.5,-0.59,30451.00,14434417.40
459,2023-03-05,465.1,465.3,455.1,463.0,-2.01,47123.00,21737545.20
458,2023-03-07,455.4,472.0,455.4,468.7,1.23,25903.00,12082697.00
457,2023-03-09,477.7,485.0,470.0,484.0,3.26,46032.00,22078212.50
456,2023-03-12,485.0,486.7,475.3,475.3,-1.8,31062.00,14866262.20
455,2023-03-13,468.7,475.0,468.0,469.9,-1.14,17449.00,8211807.20
454,2023-03-14,465.1,473.0,465.1,468.0,-0.4,12493.00,5845752.50
453,2023-03-15,469.4,472.0,462.2,468.0,0.0,21201.00,9877695.80
452,2023-03-16,465.0,471.0,462.0,469.9,0.41,17602.00,8201864.40
451,2023-03-19,470.0,471.0,463.2,469.0,-0.19,21725.00,10139491.30
450,2023-03-20,466.0,479.0,466.0,479.0,2.13,27743.00,13119954.80
449,2023-03-22,479.0,485.0,475.0,479.1,0.02,30167.00,14462717.20
448,2023-03-23,479.0,481.0,467.0,470.9,-1.71,37595.00,17702945.90
447,2023-03-26,462.0,477.0,461.0,468.9,-0.42,48876.00,22750959.00
446,2023-03-27,466.0,476.9,463.0,474.0,1.09,21870.00,10290628.80
445,2023-03-28,475.0,483.0,469.0,477.4,0.72,32295.00,15487895.60
444,2023-03-29,479.0,481.8,472.1,479.9,0.52,20928.00,10032979.70
443,2023-03-30,484.5,484.5,479.0,480.0,0.02,22098.00,10616207.10
442,2023-04-02,483.0,483.0,466.1,473.0,-1.46,22885.00,10810162.20
441,2023-04-03,465.0,472.0,465.0,467.0,-1.27,9982.00,4678271.50
440,2023-04-04,466.2,475.0,463.0,470.9,0.84,15753.00,7380618.10
439,2023-04-05,470.0,474.9,467.1,472.0,0.23,15668.00,7375366.10
438,2023-04-06,473.0,473.9,468.1,468.4,-0.76,10531.00,4953265.10
437,2023-04-09,465.1,467.8,461.2,463.0,-1.15,19846.00,9199977.40
436,2023-04-10,462.0,464.9,459.2,462.6,-0.09,33550.00,15469435.40
435,2023-04-11,460.1,469.0,460.1,469.0,1.38,18514.00,8602593.70
434,2023-04-12,469.0,490.0,462.1,490.0,4.48,44824.00,21602509.50
433,2023-04-13,491.0,495.1,480.0,490.0,0.0,74304.00,36461295.70
432,2023-04-16,485.0,494.0,481.7,488.0,-0.41,22297.00,10879194.70
431,2023-04-17,490.0,493.0,480.0,481.7,-1.29,14769.00,7127551.20
430,2023-04-18,474.1,484.6,474.1,481.0,-0.15,12955.00,6213370.80
429,2023-04-19,482.0,489.8,480.7,484.0,0.62,17530.00,8494008.10
428,2023-04-20,485.0,489.8,479.0,482.0,-0.41,18217.00,8811439.70
427,2023-04-23,480.0,480.0,476.2,477.1,-1.02,11966.00,5709100.70
426,2023-04-24,473.0,480.0,472.2,478.0,0.19,12801.00,6100160.60
425,2023-04-25,472.1,479.9,472.1,479.0,0.21,9530.00,4539700.60
424,2023-04-26,477.2,481.0,475.6,478.0,-0.21,12907.00,6171365.00
423,2023-04-27,475.4,477.0,471.4,475.9,-0.44,14989.00,7116089.00
422,2023-04-30,470.0,473.0,467.2,469.5,-1.34,9421.00,4432657.90
421,2023-05-02,465.0,469.0,465.0,468.0,-0.32,13899.00,6487581.30
420,2023-05-03,465.0,470.0,460.2,470.0,0.43,11516.00,5342577.80
419,2023-05-04,470.0,471.0,458.1,469.0,-0.21,23898.00,11043804.00
